Status,Reason To Go,Reason To Go - Category,Reason To Go - All Tags,Reason Not To Go,Reason Not To Go - Category,Reason Not To Go - All Tags,What Would Help
No,,,,My son wanted to sign up on his own and have the experience without his parents-even though he loves us and we are the coolest :),Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"My son wanted to sign up with his friend and they didn't want their parents going-even though we are the best! Also, I had already committed to be in charge of the food at our Stake YW camp which is the same time..",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My daughter really wanted to do this trip independent of anyone familiar,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,,,,
No,,,,,,,
No,,,,Wanted him to have an experience away from home without us,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,This is a trip Kate wants to go on by herself- I think it will be more meaningful to go alone.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,My daughter wanted to do it on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,To allow my daughter to have her own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Price and time away,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,I went last year and don't have the time this year.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Past kids experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I would really like to go in the future. I am sending 3 teens this year. Finance is a part of why I am not going. And then it would be tough for me to get off work that long this year. But hopefully next year.,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,,,,,,,
No,,,,I have other children,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My husband is the parent builder so I need to stay home,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,wanted my child to do it on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Timing. Giving my son space to meet new people.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
